order_month,revenue
2016-09-01,NULL
2016-10-01,61746.94
2016-12-01,19.62
2017-01-01,176491.49
2017-02-01,325782.66
2017-03-01,505735.83
2017-04-01,456108.32
2017-05-01,701313.60
2017-06-01,585400.98
2017-07-01,716069.98
2017-08-01,842689.94
2017-09-01,996279.59
2017-10-01,998609.62
2017-11-01,1548682.69
2017-12-01,1020067.26
2018-01-01,1374064.02
2018-02-01,1279970.45
2018-03-01,1435458.33
2018-04-01,1466607.15
2018-05-01,1480667.59
2018-06-01,1285926.11
2018-07-01,1307228.18
2018-08-01,1211240.09
