customer_unique_id,last_order_ts,days_inactive
830d5b7aaa3b6f1e9ad63703bec97d23,"2016-09-15 12:16:38",713
87776adb449c551e74c13fc34f036105,"2016-10-03 22:31:31",695
10e89fd8e5c745f81bec101207ba4d7d,"2016-10-03 22:51:30",695
2f64e403852e6893ae37485d5fcacdaf,"2016-10-03 16:56:50",695
61db744d2f835035a5625b59350c6b63,"2016-10-03 21:13:36",695
8d3a54507421dbd2ce0a1d58046826e0,"2016-10-03 22:06:03",695
7390ed59fa1febbfda31a80b4318c8cb,"2016-10-03 22:44:10",695
5fc74f8947fe099b44a20bde30661d83,"2016-10-04 17:08:39",694
1ab766d3d553649d7d8c7e2bb60f5c9d,"2016-10-04 16:08:52",694
7af2db50b8a1a1c7fdf77acb033ba6b0,"2016-10-04 16:02:18",694
e3299196e1482e1ae1320fcb594bc23e,"2016-10-04 15:10:15",694
28706b8dc0fe2a95fbcec1e53253d8e4,"2016-10-04 15:07:21",694
df2988ba3ed226b10521a0e4da849b61,"2016-10-04 13:22:56",694
0829f7df6577d5a4b65439bea701405f,"2016-10-04 13:15:46",694
37751f6b47c9a1dc55fffde08f0183fc,"2016-10-04 16:05:29",694
40b41ade17bb2121b576b07e25ce622b,"2016-10-04 19:41:52",694
3532616d4171dc2202de2ae9233bb0c5,"2016-10-04 21:25:32",694
d7046ea561b819649385d6d524166f04,"2016-10-04 15:12:18",694
f99053da7416fd6d626451cd49e44e0f,"2016-10-04 19:30:28",694
b2272a60af3b7f5afe04c6cbf1dcfb15,"2016-10-04 21:35:54",694
a9530b74fe56ca4be9e5f2c7e7c4175a,"2016-10-04 15:02:53",694
594fdb8a3914a91415413b3a467fa862,"2016-10-04 23:45:54",694
75b181fe0ef694c753c72540c0fdd389,"2016-10-04 13:40:43",694
88bc832f104b6dd684a17dbb1b76e778,"2016-10-04 09:59:03",694
cb1bc069e25d9c59773c85a2e2a46713,"2016-10-04 14:44:33",694
5f7e36fb1d42d0b1c408b5b41bc52bb3,"2016-10-04 13:15:52",694
7e6f4c38a581cced287444d779368aed,"2016-10-04 22:43:33",694
4be873e3bf0455763882101d7eccc78c,"2016-10-04 10:41:17",694
cfbb7c1c3d613d974eef515b180e2c9b,"2016-10-04 19:25:29",694
0acb54b64345b37d81205175f3f3e779,"2016-10-04 18:02:37",694
2e15add79c76241beffe812a24ad3a31,"2016-10-04 16:41:59",694
2bf93b9956e26356b52f5d426c7801de,"2016-10-04 21:54:52",694
cd5a5843d35eebdf90368bf24d4a04cf,"2016-10-04 09:06:10",694
7bf845014243c08bdcea071d6981303e,"2016-10-04 22:33:44",694
e37af39d93f352f64ede45a151161d0c,"2016-10-04 22:03:46",694
6e4c8eed6842146f77d917f7b437b4c2,"2016-10-04 11:03:14",694
2ad10f49ef1f061d5f6739c89d3ade68,"2016-10-04 13:45:08",694
14359ea0c7a105749c0a56478825b015,"2016-10-04 09:16:33",694
1151be76113653dc4ed5d7e7fd17763a,"2016-10-04 16:40:07",694
31463a6b3a01f53c3ef1a04a849decf4,"2016-10-04 13:16:57",694
d58063e0329c70d19363e6225ca43128,"2016-10-04 21:32:35",694
3f4f614c632af7fc7508462a7cb55ac2,"2016-10-04 12:53:17",694
9f302d00dd3e18ed3745778184b4f0fe,"2016-10-04 10:16:04",694
b1a17b1877beaabde6421f631c95a734,"2016-10-04 23:26:51",694
f176923a0a4ab546c7287791ccb82193,"2016-10-04 13:11:29",694
af46f006f8c0e0d06975480af3805422,"2016-10-04 17:25:09",694
faae4bdf680651e40005ea6f0f90e8b8,"2016-10-04 22:15:11",694
221234182f828fb9f2a4ba9c89874ede,"2016-10-04 23:59:01",694
eeb1b66fee35b3f1e3dfc27ff80fc0a2,"2016-10-04 15:44:44",694
c8befcc96d8aeb7181c618aa56d9d624,"2016-10-04 18:52:56",694
